batchName,year,umId,majorTypeId,batchId,courseValue,univName,enrollId,courseGroup,lowScore,zbType,lowRank
本科普通批,2022,10200601,3,2,0,东北师范大学(01),36606570,无限制,618,1,6248
本科普通批,2022,10200602,3,2,1,东北师范大学(02),36606571,物理,598,1,8957
本科普通批,2022,10200603,3,2,2,东北师范大学(03),36606572,"物理,化学",586,1,10758
本科普通批,2022,10200604,3,2,1,东北师范大学(04),36606573,"物理,化学,生物",544,1,17717
本科普通批,2022,10200605,3,2,2,东北师范大学(05),36606574,"政治,历史",593,1,9695
本科普通批,2022,10200606,3,2,0,东北师范大学(06),36606575,无限制,565,1,14087
本科普通批,2022,10200607,3,2,2,东北师范大学(07),36606576,"物理,化学",569,1,13401
本科普通批,2022,10184601,3,2,0,延边大学(01),36606577,无限制,537,1,19014
本科普通批,2022,10184602,3,2,2,延边大学(02),36606578,"物理,化学",549,1,16780
本科提前批A段,2022,10151604,3,1,1,大连海事大学(04),36607469,物理,525,1,21124
本科普通批,2022,10151601,3,2,0,大连海事大学(01),36606493,无限制,574,1,12633
本科普通批,2022,10151602,3,2,1,大连海事大学(02),36606494,物理,570,1,13253
本科普通批,2022,10151603,3,2,1,大连海事大学(03),36606495,物理,561,1,14760
本科普通批,2022,10140601,3,2,0,辽宁大学(01),36606515,无限制,579,1,11843
本科普通批,2022,10140602,3,2,1,辽宁大学(02),36606516,物理,569,1,13401
本科普通批,2022,10140603,3,2,0,辽宁大学(03),36606517,无限制,560,1,14943
本科普通批,2022,10126601,3,2,0,内蒙古大学(01),36606481,无限制,552,1,16267
本科普通批,2022,10126602,3,2,1,内蒙古大学(02),36606482,物理,550,1,16590
本科普通批,2022,10126603,3,2,1,内蒙古大学(03),36606483,化学,549,1,16780
本科普通批,2022,10126604,3,2,2,内蒙古大学(04),36606484,"化学,生物",560,1,14943
本科普通批,2022,10126605,3,2,1,内蒙古大学(05),36606485,政治,552,1,16267
本科普通批,2022,10126606,3,2,1,内蒙古大学(06),36606486,"政治,历史",560,1,14943
本科普通批,2022,10126607,3,2,2,内蒙古大学(07),36606487,"地理,历史",565,1,14087
本科普通批,2022,10112601,3,2,1,太原理工大学(01),36606460,物理,570,1,13253
本科普通批,2022,10080601,3,2,1,河北工业大学(01),36606385,物理,572,1,12957
本科普通批,2022,10080602,3,2,1,河北工业大学(02),36606386,化学,578,1,12007
本科普通批,2022,10079601,3,2,0,华北电力大学(保定)(01),36606379,无限制,573,1,12798
本科普通批,2022,10079602,3,2,1,华北电力大学(保定)(02),36606380,物理,595,1,9405
本科普通批,2022,10079603,3,2,1,华北电力大学(保定)(03),36606381,化学,592,1,9842
本科普通批,2022,10062601,3,2,3,天津医科大学(01),36606320,"物理,化学,生物",613,1,6912
本科普通批,2022,10062602,3,2,2,天津医科大学(02),36606321,"化学,生物",598,1,8957
本科普通批,2022,10054601,3,2,0,华北电力大学(北京)(01),36606188,无限制,612,1,7030
本科普通批,2022,10054602,3,2,1,华北电力大学(北京)(02),36606189,物理,614,1,6780
本科普通批,2022,10054603,3,2,1,华北电力大学(北京)(03),36606190,化学,608,1,7567
本科普通批,2022,10053601,3,2,0,中国政法大学(01),36606187,无限制,630,1,4857
本科普通批,2022,10491601,3,2,0,中国地质大学(武汉)(01),36607007,无限制,575,1,12490
本科普通批,2022,10491602,3,2,1,中国地质大学(武汉)(02),36607008,物理,572,1,12957
本科普通批,2022,10491603,3,2,1,中国地质大学(武汉)(03),36607009,"物理,化学",572,1,12957
本科普通批,2022,10491604,3,2,1,中国地质大学(武汉)(04),36607010,化学,561,1,14760
本科普通批,2022,10491605,3,2,1,中国地质大学(武汉)(05),36607011,物理,576,1,12334
本科普通批,2022,10491606,3,2,1,中国地质大学(武汉)(06),36607012,"物理,化学",558,1,15264
本科普通批,2022,10425601,3,2,1,中国石油大学(华东)(01),36606906,物理,573,1,12798
本科普通批,2022,10425602,3,2,2,中国石油大学(华东)(02),36606907,"物理,化学",567,1,13770
本科普通批,2022,10425603,3,2,1,中国石油大学(华东)(03),36606908,"物理,历史",583,1,11244
本科普通批,2022,10403601,3,2,0,南昌大学(01),36606854,无限制,565,1,14087
本科普通批,2022,10403602,3,2,2,南昌大学(02),36606855,"化学,生物",584,1,11096
本科普通批,2022,10403603,3,2,2,南昌大学(03),36606856,"化学,生物",570,1,13253
